                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,,
33,1.5815,1.3963,1.1293,0.45477,0.35583,0.35938,0.2125,1.4761,1.2733,1.1064,0.009424,0.009424,0.009424,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.273
34,1.5745,1.3938,1.1275,0.45795,0.36,0.36109,0.2129,1.4744,1.2714,1.1052,0.009406,0.009406,0.009406,,,,,, Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=100 ] = 0.459
35,1.5776,1.3918,1.1236,0.46254,0.35552,0.36359,0.21426,1.4728,1.2687,1.1032,0.009388,0.009388,0.009388,,,,,, Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=100 ] = 0.278
36,1.5674,1.3768,1.1216,0.45306,0.3567,0.3618,0.21343,1.4672,1.2675,1.101,0.00937,0.00937,0.00937,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area= vtiny | maxDets=100 ] = 0.034
37,1.5738,1.3809,1.1184,0.46802,0.36013,0.36918,0.21684,1.4669,1.2586,1.0968,0.009352,0.009352,0.009352,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area=  tiny | maxDets=100 ] = 0.128
38,1.5684,1.376,1.1188,0.46492,0.36997,0.37191,0.21939,1.4639,1.2526,1.0958,0.009334,0.009334,0.009334,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.249
39,1.5709,1.37,1.1176,0.46288,0.36444,0.37222,0.21965,1.4617,1.251,1.0949,0.009316,0.009316,0.009316,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.374
40,1.5652,1.3691,1.1146,0.47068,0.36845,0.37601,0.22147,1.4601,1.2433,1.0925,0.009298,0.009298,0.009298,,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.395
41,1.5573,1.3566,1.1107,0.47297,0.36518,0.37773,0.22258,1.4586,1.2475,1.0913,0.00928,0.00928,0.00928,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ] = 0.110
42,1.56,1.36,1.1129,0.4723,0.36751,0.37732,0.22503,1.4517,1.2373,1.0886,0.009262,0.009262,0.009262,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ] = 0.326
