                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,
32,1.4725,1.1963,1.1497,0.51627,0.40682,0.42225,0.25066,1.4095,1.1503,1.1374,0.0093862,0.0093862,0.0093862,,,,, Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=100 ] = 0.314
33,1.4745,1.1934,1.1432,0.51822,0.4166,0.42685,0.25155,1.4107,1.1517,1.137,0.0093664,0.0093664,0.0093664,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area= vtiny | maxDets=100 ] = 0.052
34,1.4681,1.1887,1.1389,0.51041,0.41498,0.42826,0.25544,1.4027,1.1387,1.1351,0.0093466,0.0093466,0.0093466,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area=  tiny | maxDets=100 ] = 0.144
35,1.4659,1.1882,1.1396,0.52197,0.41135,0.42973,0.25455,1.4017,1.1325,1.134,0.0093268,0.0093268,0.0093268,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.293
36,1.4573,1.1702,1.1293,0.51658,0.41665,0.4314,0.25644,1.3976,1.126,1.1321,0.009307,0.009307,0.009307,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.415
37,1.458,1.1645,1.1261,0.52412,0.41703,0.43268,0.25783,1.395,1.1252,1.1319,0.0092872,0.0092872,0.0092872,,,,, Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.426
38,1.4753,1.1769,1.1348,0.5275,0.42081,0.43744,0.2608,1.3913,1.1227,1.1297,0.0092674,0.0092674,0.0092674,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ] = 0.119
39,1.458,1.1601,1.1279,0.52449,0.42348,0.43871,0.26045,1.3886,1.1149,1.1284,0.0092476,0.0092476,0.0092476,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ] = 0.349
40,1.4549,1.1566,1.1329,0.52939,0.425,0.44246,0.26402,1.3887,1.1095,1.1277,0.0092278,0.0092278,0.0092278,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.461
41,1.4431,1.142,1.1221,0.53461,0.42258,0.43862,0.26351,1.3818,1.1117,1.1241,0.009208,0.009208,0.009208,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.458
42,1.4495,1.145,1.1224,0.53517,0.42993,0.44781,0.26794,1.3816,1.1047,1.1245,0.0091882,0.0091882,0.0091882,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.582
43,1.4511,1.1397,1.1297,0.52348,0.43966,0.44774,0.26811,1.3763,1.1007,1.1206,0.0091684,0.0091684,0.0091684,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.600
44,1.4306,1.1327,1.1229,0.52602,0.43787,0.45109,0.27171,1.3769,1.0954,1.1211,0.0091486,0.0091486,0.0091486,,,,,
45,1.4301,1.1308,1.1195,0.5449,0.42864,0.45034,0.26941,1.3811,1.0937,1.1235,0.0091288,0.0091288,0.0091288,,,,,
46,1.4399,1.1278,1.1162,0.54177,0.43608,0.45451,0.27244,1.3752,1.0927,1.121,0.009109,0.009109,0.009109,,,,,
47,1.4157,1.1106,1.1205,0.53364,0.43972,0.454,0.27249,1.3728,1.0895,1.1181,0.0090892,0.0090892,0.0090892,,,,,
48,1.4227,1.121,1.1178,0.54341,0.43501,0.45375,0.27258,1.3664,1.0839,1.1153,0.0090694,0.0090694,0.0090694,,,,,
49,1.4221,1.1083,1.1136,0.5431,0.43767,0.45702,0.27337,1.3641,1.0831,1.1149,0.0090496,0.0090496,0.0090496,,,,,
50,1.426,1.1067,1.1182,0.54693,0.43772,0.45997,0.27575,1.3644,1.0771,1.1151,0.0090298,0.0090298,0.0090298,,,,,
51,1.4202,1.1016,1.1139,0.54289,0.44034,0.45967,0.27448,1.3608,1.0795,1.112,0.00901,0.00901,0.00901,,,,,
52,1.4221,1.1045,1.1122,0.54572,0.44114,0.46247,0.27714,1.3633,1.079,1.1145,0.0089902,0.0089902,0.0089902,,,,,
53,1.4078,1.0984,1.1114,0.55075,0.44851,0.46239,0.27729,1.3579,1.0724,1.1128,0.0089704,0.0089704,0.0089704,,,,,
54,1.4199,1.1012,1.1138,0.54935,0.44446,0.46875,0.28079,1.3591,1.0711,1.1114,0.0089506,0.0089506,0.0089506,,,,,
55,1.4092,1.0966,1.1165,0.5335,0.45091,0.46627,0.28003,1.3583,1.0674,1.1115,0.0089308,0.0089308,0.0089308,,,,,
56,1.4128,1.0908,1.1106,0.55241,0.44736,0.47023,0.28366,1.3558,1.0658,1.1103,0.008911,0.008911,0.008911,,,,,
57,1.4114,1.0918,1.1169,0.54232,0.45152,0.46673,0.28093,1.3538,1.0626,1.1085,0.0088912,0.0088912,0.0088912,,,,,
58,1.4081,1.0852,1.1056,0.56219,0.44446,0.47166,0.28413,1.3519,1.0632,1.1078,0.0088714,0.0088714,0.0088714,,,,,
59,1.4099,1.0802,1.1037,0.55927,0.44635,0.47284,0.28473,1.3491,1.0623,1.1065,0.0088516,0.0088516,0.0088516,,,,,
60,1.3988,1.0752,1.1083,0.56106,0.44693,0.47399,0.28573,1.3495,1.0573,1.1061,0.0088318,0.0088318,0.0088318,,,,,
61,1.4035,1.0804,1.109,0.56173,0.45086,0.47618,0.28634,1.3489,1.0514,1.106,0.008812,0.008812,0.008812,,,,,
62,1.4014,1.0781,1.1083,0.56444,0.44728,0.47445,0.28626,1.3449,1.0505,1.1056,0.0087922,0.0087922,0.0087922,,,,,
63,1.4046,1.0751,1.1096,0.55578,0.44918,0.47416,0.28579,1.3451,1.0481,1.1038,0.0087724,0.0087724,0.0087724,,,,,
64,1.3979,1.059,1.1031,0.55363,0.45379,0.47561,0.28759,1.3457,1.0493,1.1038,0.0087526,0.0087526,0.0087526,,,,,
65,1.4057,1.0676,1.1052,0.56345,0.45225,0.47831,0.28909,1.341,1.0462,1.1023,0.0087328,0.0087328,0.0087328,,,,,
66,1.3968,1.0682,1.0998,0.5764,0.44853,0.47842,0.28922,1.3422,1.045,1.1018,0.008713,0.008713,0.008713,,,,,
67,1.3996,1.0594,1.1091,0.56517,0.45325,0.47787,0.29021,1.3408,1.0428,1.1028,0.0086932,0.0086932,0.0086932,,,,,
68,1.3826,1.0532,1.089,0.56452,0.45713,0.48032,0.29086,1.3385,1.04,1.1004,0.0086734,0.0086734,0.0086734,,,,,
69,1.3914,1.0565,1.0994,0.55799,0.46259,0.48312,0.29183,1.3406,1.0376,1.1014,0.0086536,0.0086536,0.0086536,,,,,
70,1.402,1.062,1.0958,0.56673,0.46009,0.48278,0.29175,1.3335,1.0356,1.0986,0.0086338,0.0086338,0.0086338,,,,,
71,1.388,1.0439,1.0963,0.56911,0.46114,0.48419,0.29192,1.3378,1.0377,1.1001,0.008614,0.008614,0.008614,,,,,
72,1.3946,1.0484,1.1005,0.56524,0.46055,0.4842,0.29244,1.3356,1.0332,1.1001,0.0085942,0.0085942,0.0085942,,,,,
73,1.3769,1.0321,1.0933,0.56538,0.46518,0.4853,0.29275,1.3334,1.0305,1.0981,0.0085744,0.0085744,0.0085744,,,,,
74,1.3752,1.0321,1.0939,0.5708,0.46064,0.486,0.29376,1.3328,1.0294,1.0983,0.0085546,0.0085546,0.0085546,,,,,
75,1.3841,1.0377,1.1008,0.56787,0.46537,0.48706,0.29441,1.3349,1.0289,1.0995,0.0085348,0.0085348,0.0085348,,,,,
76,1.3788,1.0357,1.091,0.57856,0.45473,0.48693,0.2944,1.3313,1.0241,1.097,0.008515,0.008515,0.008515,,,,,
77,1.3861,1.0437,1.092,0.57081,0.46487,0.48811,0.29609,1.3285,1.0228,1.0959,0.0084952,0.0084952,0.0084952,,,,,
78,1.3721,1.0292,1.0951,0.56704,0.45932,0.48713,0.29534,1.3284,1.0225,1.0953,0.0084754,0.0084754,0.0084754,,,,,
79,1.3711,1.0197,1.0918,0.55991,0.4688,0.48891,0.29591,1.3294,1.0211,1.0963,0.0084556,0.0084556,0.0084556,,,,,
80,1.3731,1.0293,1.0904,0.57206,0.46587,0.49113,0.29677,1.328,1.0197,1.0963,0.0084358,0.0084358,0.0084358,,,,,
81,1.3757,1.0353,1.0963,0.57402,0.46659,0.49136,0.29706,1.3274,1.0197,1.0954,0.008416,0.008416,0.008416,,,,,
82,1.3634,1.0223,1.0932,0.56568,0.46824,0.4907,0.29719,1.326,1.0191,1.0947,0.0083962,0.0083962,0.0083962,,,,,
83,1.3624,1.0181,1.0842,0.5698,0.46849,0.49061,0.29808,1.3256,1.0182,1.0944,0.0083764,0.0083764,0.0083764,,,,,
84,1.3686,1.0194,1.0919,0.55933,0.47615,0.49164,0.29801,1.3265,1.0151,1.0946,0.0083566,0.0083566,0.0083566,,,,,
85,1.3656,1.0164,1.0902,0.56268,0.47594,0.49339,0.29892,1.3264,1.0138,1.0947,0.0083368,0.0083368,0.0083368,,,,,
86,1.3684,1.0217,1.0886,0.57311,0.46757,0.49309,0.29961,1.3233,1.0123,1.0932,0.008317,0.008317,0.008317,,,,,
