                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,,,,
30,2.0795,1.4054,1.1034,0.59768,0.41347,0.43653,0.17411,2.0626,1.3886,1.1267,0.009478,0.009478,0.009478,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.394,,
31,2.0809,1.4027,1.1072,0.50647,0.4427,0.427,0.16978,2.0583,1.3915,1.1261,0.00946,0.00946,0.00946,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.391,,
32,2.0782,1.3997,1.1013,0.49654,0.44133,0.4302,0.17266,2.0539,1.3843,1.1253,0.009442,0.009442,0.009442,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.477,,
33,2.0754,1.3965,1.0983,0.52535,0.447,0.44436,0.18381,2.0513,1.3848,1.124,0.009424,0.009424,0.009424,,,,,, Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = -1.000,,
34,2.0701,1.3793,1.098,0.51998,0.44592,0.43333,0.1779,2.0509,1.3781,1.1237,0.009406,0.009406,0.009406,,,,,,,,
35,2.0801,1.4009,1.0981,0.53327,0.45456,0.44992,0.18323,2.046,1.3633,1.1211,0.009388,0.009388,0.009388,,,,,,,,
36,2.0704,1.3853,1.1027,0.54168,0.4423,0.44994,0.1857,2.049,1.3535,1.1229,0.00937,0.00937,0.00937,,,,,,,,
37,2.0713,1.3826,1.1037,0.50388,0.44866,0.45334,0.18658,2.0478,1.3501,1.1207,0.009352,0.009352,0.009352,,,,,,,,
38,2.0651,1.3633,1.1008,0.55294,0.44094,0.45162,0.18174,2.0448,1.3435,1.1188,0.009334,0.009334,0.009334,,,,,,,,
39,2.07,1.3743,1.0946,0.5129,0.45996,0.46311,0.18703,2.0415,1.3404,1.1183,0.009316,0.009316,0.009316,,,,,,,,
40,2.0676,1.3655,1.0954,0.53517,0.46403,0.46837,0.19086,2.0406,1.3404,1.1188,0.009298,0.009298,0.009298,,,,,,,,
